Scripture Reference,Liturgical Usage
Heb 10:11-25,"Office of Readings, Year I: Lent, Week 4, Saturday"
Heb 10:26-39,"Office of Readings, Year I: Lent, Week 5, Sunday"
Heb 11:1-19,"Office of Readings, Year I: Lent, Week 5, Monday"
Heb 11:20-31,"Office of Readings, Year I: Lent, Week 5, Tuesday"
Heb 11:32-40,"Office of Readings, Year I: Lent, Week 5, Wednesday"
Heb 12:1-13,"Office of Readings, Year I: Lent, Week 5, Thursday"
Heb 12:14-29,"Office of Readings, Year I: Lent, Week 5, Friday"
Heb 13:1-25,"Office of Readings, Year I: Lent, Week 5, Saturday"
Isa 50:4-51:3,"Office of Readings, Year I: Palm Sunday of the Passion of the Lord"
Isa 52:13-53:12,"Office of Readings, Year I: Lent, Week 5, Monday"
"Lam 1:1-12, 18-20","Office of Readings, Year I: Lent, Week 5, Tuesday"
Lam 2:1-9,"Office of Readings, Year I: Lent, Week 5, Wednesday"
"Zech 11:4-14, 13:4-7","Office of Readings, Year I: Lent, Week 5, Thursday"
Lam 2:10-22,"Office of Readings, Year I: Lent, Week 5, Optional"
Heb 9:11-28,"Office of Readings, Year I: Friday On the Passion of the Lord (Good Friday)"
Lam 3:1-33,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate"
Lam 2:13-19,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate (Canticle 1)"
Lam 3:1-12,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate (Canticle 2)"
Lam 3:13-24,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate (Canticle 3)"
Heb 4:1-13,"Office of Readings, Year I: Holy Saturday"
Lam 5:1-22,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate"
Lam 3:25-39,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate (Canticle 1)"
"Lam 3:40-42, 49-60","Office of Readings, Year I: Sacred Paschal Triduum, Alternate (Canticle 2)"
"Lam 5:1-7, 13-21","Office of Readings, Year I: Sacred Paschal Triduum, Alternate (Canticle 3)"
Exod 14:15-15:1,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate, Vigil Reading 1"
Ezek 36:16-28,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate, Vigil Reading 2"
Rom 6:3-11,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate, Vigil Reading 3"
Matt 28:1-10,"Office of Readings, Year I: Sacred Paschal Triduum, Alternate, Vigil Reading 4"
Isa 58:1-12,"Office of Readings, Year II: Ash Wednesday"
Exod 1:1-22,"Office of Readings, Year II: Thursday after Ash Wednesday"
Exod 2:1-22,"Office of Readings, Year II: Friday after Ash Wednesday"
Exod 3:1-20,"Office of Readings, Year II: Saturday after Ash Wednesday"
Exod 5:1-6:1,"Office of Readings, Year II: Sacred Paschal Triduum, Sunday 1"
Exod 6:2-13,"Office of Readings, Year II: Sacred Paschal Triduum, Monday"
Exod 6:29-7:25,"Office of Readings, Year II: Sacred Paschal Triduum, Tuesday"
Exod 10:21-11:10,"Office of Readings, Year II: Sacred Paschal Triduum, Wednesday"
Exod 12:1-20,"Office of Readings, Year II: Sacred Paschal Triduum, Thursday"
Exod 12:21-36,"Office of Readings, Year II: Sacred Paschal Triduum, Friday"
"Exod 12:37-49, 13:11-16","Office of Readings, Year II: Sacred Paschal Triduum, Saturday"
Exod 13:17-14:9,"Office of Readings, Year II: Sacred Paschal Triduum, Sunday 2"
Exod 14:10-31,"Office of Readings, Year II: Sacred Paschal Triduum, Monday"
"Exod 16:1-18, 35","Office of Readings, Year II: Sacred Paschal Triduum, Tuesday"
Exod 17:1-16,"Office of Readings, Year II: Sacred Paschal Triduum, Wednesday"
"Exod 18:5, 13-27","Office of Readings, Year II: Sacred Paschal Triduum, Thursday"
"Exod 19:1-19, 20:18-21","Office of Readings, Year II: Sacred Paschal Triduum, Friday"
Exod 20:1-17,"Office of Readings, Year II: Sacred Paschal Triduum, Saturday"
Exod 22:20-23:9,"Office of Readings, Year II: Sacred Paschal Triduum, Sunday 3"
Exod 24:1-18,"Office of Readings, Year II: Sacred Paschal Triduum, Monday"
Exod 32:1-20,"Office of Readings, Year II: Sacred Paschal Triduum, Tuesday"
"Exod 33:7-11, 12a, 18-23, 34:4-9, 29-35","Office of Readings, Year II: Sacred Paschal Triduum, Wednesday"
Exod 34:10-28,"Office of Readings, Year II: Sacred Paschal Triduum, Thursday"
"Exod 35:30-36:1, 37:1-9","Office of Readings, Year II: Sacred Paschal Triduum, Friday"
Exod 40:16-38,"Office of Readings, Year II: Sacred Paschal Triduum, Saturday"
"Lev 8:1-17, 9:22-24","Office of Readings, Year II: Sacred Paschal Triduum, Sunday 4"
Lev 16:2-28,"Office of Readings, Year II: Sacred Paschal Triduum, Monday"
"Lev 19:1-18, 31-37","Office of Readings, Year II: Sacred Paschal Triduum, Tuesday"
"Lev 26:3-17, 38-45","Office of Readings, Year II: Sacred Paschal Triduum, Wednesday"
"Num 3:1-13, 8:5-11","Office of Readings, Year II: Sacred Paschal Triduum, Thursday"
"Num 9:15-10:10, 33-36","Office of Readings, Year II: Sacred Paschal Triduum, Friday"
"Num 11:4-6, 10-30","Office of Readings, Year II: Sacred Paschal Triduum, Saturday"
Num 12:1-15,"Office of Readings, Year II: Sacred Paschal Triduum, Sunday 5"
"Num 12:16-13:3, 17-33","Office of Readings, Year II: Sacred Paschal Triduum, Monday"
Num 14:1-25,"Office of Readings, Year II: Sacred Paschal Triduum, Tuesday"
"Num 16:1-11, 16-24, 28-35","Office of Readings, Year II: Sacred Paschal Triduum, Wednesday"
"Num 20:1-13, 21:4-9","Office of Readings, Year II: Sacred Paschal Triduum, Thursday"
"Num 22:1-8, 20-35","Office of Readings, Year II: Sacred Paschal Triduum, Friday"
Num 24:1-19,"Office of Readings, Year II: Sacred Paschal Triduum, Saturday"
Jer 26:1-15,"Office of Readings, Year II: Sacred Paschal Triduum, Monday"
Jer 8:13-9:8,"Office of Readings, Year II: Sacred Paschal Triduum, Tuesday"
"Jer 11:18-20, 12:1-13","Office of Readings, Year II: Sacred Paschal Triduum, Wednesday"
"Zech 11:4-14, 13:4-7","Office of Readings, Year II: Sacred Paschal Triduum, Thursday"
Jer 15:10-21,"Office of Readings, Year II: Sacred Paschal Triduum, Optional"
Heb 9:11-28,"Office of Readings, Year II: Friday On the Passion of the Lord (Good Friday)"
Jer 16:1-15,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate"
Lam 2:13-19,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate (Canticle 1)"
