Scripture Reference,Liturgical Usage
Zech 10:3-11:3,"Office of Readings, Year II: Ordinary Time, Week 19, Wednesday"
Zech 11:4-12:8,"Office of Readings, Year II: Ordinary Time, Week 19, Thursday"
"Zech 12:9-12a, 13:1-9","Office of Readings, Year II: Ordinary Time, Week 19, Friday"
Zech 14:1-21,"Office of Readings, Year II: Ordinary Time, Week 19, Saturday"
Eccl 1:1-18,"Office of Readings, Year II: Ordinary Time, Week 20, Sunday"
"Eccl 2:1-3, 12-26","Office of Readings, Year II: Ordinary Time, Week 20, Monday"
Eccl 3:1-22,"Office of Readings, Year II: Ordinary Time, Week 20, Tuesday"
Eccl 5:9-6:8,"Office of Readings, Year II: Ordinary Time, Week 20, Wednesday"
Eccl 8:5-9:10,"Office of Readings, Year II: Ordinary Time, Week 20, Friday"
Eccl 11:7-12:14,"Office of Readings, Year II: Ordinary Time, Week 20, Saturday"
Titus 1:1-16,"Office of Readings, Year II: Ordinary Time, Week 21, Sunday"
Titus 2:1-3:2,"Office of Readings, Year II: Ordinary Time, Week 21, Monday"
Titus 3:3-15,"Office of Readings, Year II: Ordinary Time, Week 21, Tuesday"
1 Tim 1:1-20,"Office of Readings, Year II: Ordinary Time, Week 21, Wednesday"
1 Tim 2:1-15,"Office of Readings, Year II: Ordinary Time, Week 21, Thursday"
1 Tim 3:1-16,"Office of Readings, Year II: Ordinary Time, Week 21, Friday"
1 Tim 4:1-5:2,"Office of Readings, Year II: Ordinary Time, Week 21, Saturday"
1 Tim 5:3-25,"Office of Readings, Year II: Ordinary Time, Week 22, Sunday"
1 Tim 6:1-10,"Office of Readings, Year II: Ordinary Time, Week 22, Monday"
1 Tim 6:11-21,"Office of Readings, Year II: Ordinary Time, Week 22, Tuesday"
2 Tim 1:1-18,"Office of Readings, Year II: Ordinary Time, Week 22, Wednesday"
2 Tim 2:1-21,"Office of Readings, Year II: Ordinary Time, Week 22, Thursday"
2 Tim 2:22-3:17,"Office of Readings, Year II: Ordinary Time, Week 22, Friday"
2 Tim 4:1-22,"Office of Readings, Year II: Ordinary Time, Week 22, Saturday"
2 Pet 1:1-11,"Office of Readings, Year II: Ordinary Time, Week 23, Sunday"
2 Pet 1:12-21,"Office of Readings, Year II: Ordinary Time, Week 23, Monday"
2 Pet 2:1-9,"Office of Readings, Year II: Ordinary Time, Week 23, Tuesday"
2 Pet 2:9 -22,"Office of Readings, Year II: Ordinary Time, Week 23, Wednesday"
2 Pet 3:1-10,"Office of Readings, Year II: Ordinary Time, Week 23, Thursday"
2 Pet 3:11-18,"Office of Readings, Year II: Ordinary Time, Week 23, Friday"
"Jude 1:1-8, 12-13, 17-25","Office of Readings, Year II: Ordinary Time, Week 23, Saturday"
"Est 1:1-3, 9-13, 15-16, 19, 2:5-10, 16-17","Office of Readings, Year II: Ordinary Time, Week 24, Sunday"
Est 3:1-15,"Office of Readings, Year II: Ordinary Time, Week 24, Monday"
"Est 4:1-8, 8a, 9-17","Office of Readings, Year II: Ordinary Time, Week 24, Tuesday"
"Est 5:1-5, 7:1-10","Office of Readings, Year II: Ordinary Time, Week 24, Thursday"
"Bar 1:14-2:5, 3:1-8","Office of Readings, Year II: Ordinary Time, Week 24, Friday"
"Bar 3:9-15, 3:24-4:4","Office of Readings, Year II: Ordinary Time, Week 24, Saturday"
Tob 1:1-2:1a,"Office of Readings, Year II: Ordinary Time, Week 25, Sunday"
Tob 2:1b-3:6,"Office of Readings, Year II: Ordinary Time, Week 25, Monday"
Tob 3:7-17,"Office of Readings, Year II: Ordinary Time, Week 25, Tuesday"
"Tob 4:1-5a, 16, 20, 5:1-13, 5:17b-6:1","Office of Readings, Year II: Ordinary Time, Week 25, Wednesday"
Tob 6:2-18,"Office of Readings, Year II: Ordinary Time, Week 25, Thursday"
"Tob 7:1, 9b-17, 8:1, 4-16","Office of Readings, Year II: Ordinary Time, Week 25, Friday"
"Jdt 2:1-6, 3:6, 4:1-2, 9-15","Office of Readings, Year II: Ordinary Time, Week 26, Sunday"
Jdt 5:1-21,"Office of Readings, Year II: Ordinary Time, Week 26, Monday"
"Jdt 6:1-8, 6:10-7:1, 4-5","Office of Readings, Year II: Ordinary Time, Week 26, Tuesday"
"Jdt 8:1a, 9b-14, 28-33, 9:1, 4b-6, 11-14","Office of Readings, Year II: Ordinary Time, Week 26, Wednesday"
"Jdt 10:1-5, 11-17, 11:1-8, 20-23","Office of Readings, Year II: Ordinary Time, Week 26, Thursday"
Jdt 12:1-13:3,"Office of Readings, Year II: Ordinary Time, Week 26, Friday"
Jdt 13:4-20,"Office of Readings, Year II: Ordinary Time, Week 26, Saturday"
Sir 1:1-20,"Office of Readings, Year II: Ordinary Time, Week 27, Sunday"
Sir 2:1-18,"Office of Readings, Year II: Ordinary Time, Week 27, Monday"
Sir 3:1-18,"Office of Readings, Year II: Ordinary Time, Week 27, Tuesday"
Sir 3:19-4:11,"Office of Readings, Year II: Ordinary Time, Week 27, Wednesday"
Sir 5:1-6:4,"Office of Readings, Year II: Ordinary Time, Week 27, Thursday"
"Sir 6:5-19, 23, 27-37","Office of Readings, Year II: Ordinary Time, Week 27, Friday"
Sir 7:24-40,"Office of Readings, Year II: Ordinary Time, Week 27, Saturday"
Sir 11:12-30,"Office of Readings, Year II: Ordinary Time, Week 28, Monday"
Sir 14:22-15:10,"Office of Readings, Year II: Ordinary Time, Week 28, Tuesday"
Sir 15:11-21,"Office of Readings, Year II: Ordinary Time, Week 28, Wednesday"
Sir 16:24-17:12,"Office of Readings, Year II: Ordinary Time, Week 28, Thursday"
Sir 17:13-31,"Office of Readings, Year II: Ordinary Time, Week 28, Friday"
"Sir 24:1b, 4b-31","Office of Readings, Year II: Ordinary Time, Week 28, Saturday"
"Sir 26:1-4, 12-23","Office of Readings, Year II: Ordinary Time, Week 29, Sunday"
Sir 27:25-28:9,"Office of Readings, Year II: Ordinary Time, Week 29, Monday"
"Sir 29:1-15, 31:1-4","Office of Readings, Year II: Ordinary Time, Week 29, Tuesday"
Sir 35:1-21,"Office of Readings, Year II: Ordinary Time, Week 29, Wednesday"
Sir 38:32-39:14,"Office of Readings, Year II: Ordinary Time, Week 29, Thursday"
"Sir 42:15-26, 43:29-37","Office of Readings, Year II: Ordinary Time, Week 29, Friday"
Sir 51:1-17,"Office of Readings, Year II: Ordinary Time, Week 29, Saturday"
Wis 1:1-15,"Office of Readings, Year II: Ordinary Time, Week 30, Sunday"
"Wis 1:16-2:1a, 10-24","Office of Readings, Year II: Ordinary Time, Week 30, Monday"
Wis 3:1-19,"Office of Readings, Year II: Ordinary Time, Week 30, Tuesday"
Wis 4:1-20,"Office of Readings, Year II: Ordinary Time, Week 30, Wednesday"
Wis 5:1-23,"Office of Readings, Year II: Ordinary Time, Week 30, Thursday"
Wis 6:1-25,"Office of Readings, Year II: Ordinary Time, Week 30, Friday"
Wis 7:15-30,"Office of Readings, Year II: Ordinary Time, Week 30, Saturday"
Wis 8:1-21a,"Office of Readings, Year II: Ordinary Time, Week 31, Sunday"
Wis 8:21b-9:18,"Office of Readings, Year II: Ordinary Time, Week 31, Monday"
Wis 10:1-11:4,"Office of Readings, Year II: Ordinary Time, Week 31, Tuesday"
"Wis 11:20b-12:2, 11b-19","Office of Readings, Year II: Ordinary Time, Week 31, Wednesday"
"Wis 13:1-10, 14:15-21, 15:1-6","Office of Readings, Year II: Ordinary Time, Week 31, Thursday"
"Wis 16:2b-13, 20-26","Office of Readings, Year II: Ordinary Time, Week 31, Friday"
"Wis 18:1-16, 19:4-9","Office of Readings, Year II: Ordinary Time, Week 31, Saturday"
1 Macc 1:1-25,"Office of Readings, Year II: Ordinary Time, Week 32, Sunday"
1 Macc 1:41-64,"Office of Readings, Year II: Ordinary Time, Week 32, Monday"
2 Macc 6:12-31,"Office of Readings, Year II: Ordinary Time, Week 32, Tuesday"
2 Macc 7:1-19,"Office of Readings, Year II: Ordinary Time, Week 32, Wednesday"
2 Macc 7:20-41,"Office of Readings, Year II: Ordinary Time, Week 32, Thursday"
"1 Macc 2:1, 15-28, 42-50, 65-70","Office of Readings, Year II: Ordinary Time, Week 32, Friday"
1 Macc 3:1-26,"Office of Readings, Year II: Ordinary Time, Week 32, Saturday"
1 Macc 4:36-59,"Office of Readings, Year II: Ordinary Time, Week 33, Sunday"
2 Macc 12:32-46,"Office of Readings, Year II: Ordinary Time, Week 33, Monday"
1 Macc 6:1-17,"Office of Readings, Year II: Ordinary Time, Week 33, Tuesday"
1 Macc 9:1-22,"Office of Readings, Year II: Ordinary Time, Week 33, Wednesday"
Dan 1:1-21,"Office of Readings, Year II: Ordinary Time, Week 33, Thursday"
Dan 2:26-47,"Office of Readings, Year II: Ordinary Time, Week 33, Friday"
"Dan 3:8-12, 19-24, 91-97","Office of Readings, Year II: Ordinary Time, Week 33, Saturday"
Dan 7:1-27,"Office of Readings, Year II: Sunday Solemnity of Our Lord Jesus Christ, King of the Universe"
"Dan 5:1-2, 5-9, 13-17, 5:25-6:1","Office of Readings, Year II: Ordinary Time, Week 34, Monday"
Dan 6:4-28,"Office of Readings, Year II: Ordinary Time, Week 34, Tuesday"
Dan 8:1-26,"Office of Readings, Year II: Ordinary Time, Week 34, Wednesday"
"Dan 9:1-4, 18-27","Office of Readings, Year II: Ordinary Time, Week 34, Thursday"
Dan 10:1-11:1,"Office of Readings, Year II: Ordinary Time, Week 34, Friday"
Dan 12:1-13,"Office of Readings, Year II: Ordinary Time, Week 34, Saturday"
